題目,答案,答對回饋,答錯回饋,提示,教學提示
p5.js是什麼？,一個JavaScript函式庫,沒錯呢！,不對，再回去練吧,提示？去找喵老師，她會告訴你一切。,p5.js 是一個讓程式設計變得更有趣的 JavaScript 函式庫。
在p5.js中，setup()函式會執行幾次？,1,太強了吧！,再想想看？,提示？去找喵老師，她會告訴你一切。,setup() 函式在程式開始時只會執行 1 次。
哪個函式可以改變填充顏色？,fill,算你厲害！,看來你還沒準備好,提示？去找喵老師，她會告訴你一切。,填充顏色的英文是 fill 。
如何在畫布上畫一個圓形？,circle,很強耶！,不對啊，你不夠強。,想要提示就去找喵老師，她會告訴你一切。,畫圓形的函式就是 circle 。
哪個變數儲存了滑鼠的X座標？,mouseX,不愧是我選的人！,答錯了，再去練練吧,提示就去找喵老師，她會告訴你一切。,滑鼠的 X 座標儲存在 mouseX 變數裡。
draw() 函式的作用是什麼？,連續繪製畫面,沒錯，恭喜你答對,錯了呢，再練練吧,提示？去找喵老師，她會告訴你一切。,draw() 會不斷重複執行來繪製畫面。
如何設定畫布的背景顏色？,background,正確答案！,答錯了哈哈哈,提示？去找喵老師，她會告訴你一切。,設定背景顏色的函式是 background 。
畫線條要用哪個函式？,line,對！恭喜,又錯了，很簡單的單字。,提示？去找喵老師，她會告訴你一切。,畫線條的函式是 line 。
width 這個變數儲存了什麼？,畫布寬度,你很懂呢！,太弱了,提示？去找喵老師，她會告訴你一切。,width 變數儲存了畫布的寬度。
如何讓圖形沒有外框？,noStroke,很強嘛！,答錯了，再去練練吧,提示？去找喵老師，她會告訴你一切。,不要外框就是 noStroke 。
height 這個變數儲存了什麼？,畫布高度,完全正確！,不對，沒那麼輕鬆,提示？去找喵老師，她會告訴你一切。,height 變數儲存了畫布的高度。
